snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
618.0,6.032072868913223,24.5,252.0,4.3830297030909765e-14,2.6654195110667268e-14,1.765456019605514,-0.3824363767918072
618.0,6.032072868913223,25.5,252.0,4.33243862860423e-14,2.5111178748174397e-14,1.852882877294354,-0.41592828591907677
618.0,6.032072868913223,26.5,244.0,4.221184413042674e-14,2.3007614795676592e-14,1.934973768238093,-0.3935146877598164
618.0,6.032072868913223,27.5,260.0,3.841471366700848e-14,2.3807549175356674e-14,1.938478757739367,-0.3776059693801715
618.0,6.032072868913223,28.5,280.0,4.347529020732279e-14,1.8129108889168517e-14,2.109611474229023,-0.378126445092195
618.0,6.032072868913223,29.5,300.0,4.854194941867667e-14,1.5860229225045022e-14,2.219102254991905,-0.25535149865862755
618.0,6.032072868913223,30.5,284.0,4.46291610092264e-14,1.3288700060182249e-14,2.2649880464982495,-0.13138681853647743
618.0,6.032072868913223,31.5,292.0,3.673467166979576e-14,1.5003762008301203e-14,2.3620723622140267,-0.04462332594295111
618.0,6.032072868913223,32.5,316.0,4.500701146669711e-14,1.0971689693937031e-14,2.489629566748441,0.15712950898589043
618.0,6.032072868913223,33.5,324.0,4.58826841087525e-14,6.414953840805884e-15,2.56519937476017,0.4167538035549714
618.0,6.032072868913223,34.5,324.0,4.624373035335403e-14,2.5375346450625977e-15,2.5941691771155466,1.5411281704436064
618.0,6.032072868913223,35.5,348.0,4.6609923489476224e-14,3.066475808873424e-15,2.6557428224195134,2.6631971395840988
618.0,6.032072868913223,36.5,352.0,4.8474286503981124e-14,5.4082734498903475e-15,2.6907179857093015,2.697172943896917
618.0,6.032072868913223,37.5,372.0,5.3564595970444115e-14,9.134868487169861e-15,2.706324664959188,2.7439337055371626
618.0,6.032072868913223,38.5,372.0,5.208344956622087e-14,1.3106388483259118e-14,2.739621520315345,2.7886447911463956
618.0,6.032072868913223,39.5,340.0,4.497090261387984e-14,1.5232146613531972e-14,2.813967485634948,2.826110706115618
620.0,5.9948320266449295,0.5,4.0,6.489265005147712e-15,2.1751246482246745e-15,2.306490014169071,1.5707963267948963
620.0,5.9948320266449295,1.5,12.0,3.637970680851852e-14,3.2802449350168514e-15,2.4291701555099072,0.6069807289128507
620.0,5.9948320266449295,2.5,28.0,8.684305025381815e-14,1.7081063189452295e-14,2.4317370521665165,-0.17634715051086383
620.0,5.9948320266449295,3.5,36.0,1.0090840575756448e-13,1.1176617833417536e-14,2.3449104667508247,0.16109851011768792
620.0,5.9948320266449295,4.5,40.0,9.538947988230785e-14,7.970061068709785e-15,2.2963223570002995,0.7635607905034053
620.0,5.9948320266449295,5.5,52.0,1.0225857574242984e-13,1.0018045216983484e-14,2.25264307975541,1.4277310591664283
620.0,5.9948320266449295,6.5,68.0,1.1382129036104119e-13,9.323219992650768e-15,2.2578357893954983,0.965353455481875
620.0,5.9948320266449295,7.5,68.0,9.642803738432042e-14,1.0099760000320426e-14,2.227822240303634,1.146817410105406
620.0,5.9948320266449295,8.5,84.0,1.0106591808177951e-13,1.5663097515404725e-14,2.175157606650011,1.3954909559055753
620.0,5.9948320266449295,9.5,92.0,8.963595759830402e-14,1.630149284656343e-14,2.110103316571855,1.1079257847002515
