,Snapshot,Lookback,Minf_20,Minf_25,Minf_30,Minf_35,Minf_40
36,674.0,5.100322315894825,168071484.83039,10887001.0616,3775125.1169,23402.489,169718.8647
37,676.0,5.076783952863184,189357600.58729,8869759.4226,2883740.5121,492043.0631,1040073.4309
38,679.0,5.024693916499314,189380983.3935,7757370.699099999,1303370.7385999998,156579.52640000003,4772405.1029
39,681.0,4.9984422681030605,154912528.54758,9991194.3722,555039.1227999999,1049375.7435,5063009.49166
40,682.0,4.972098961617661,122388701.98222,8496622.4487,355196.9141,3942280.7628,603925.7606
41,684.0,4.945595796763422,93654723.19219,7936491.908860001,2836617.846,717399.1144000001,61005.2744
42,687.0,4.892248159980066,103559083.72686,5474807.455800001,2061840.3023,97864.3872,68984.99753
43,689.0,4.862669314823597,126730544.50269,10065007.06014,2230257.0367,51651.342,12278.3099
44,690.0,4.8487228759760965,120068032.11305,9534111.7847,2465750.0431,226980.39573,26215.8104
45,692.0,4.806664730570148,121910118.61478,13299062.0201,3559694.787439999,453822.13583,649080.9658
46,694.0,4.778461168590125,147982601.166668,25644453.68561,4910869.81546,320496.16669999994,500903.799
47,698.0,4.720187077902779,165375147.11069,28047050.888000004,3273751.2449000003,340487.8749,1866901.6918
48,704.0,4.622237616993765,174358443.03820002,6849985.41995,144864.29419999995,307595.08173999994,267379.6199
49,706.0,4.577088592204344,164245468.34928003,13163906.8365,470318.0842,1159548.7616,874514.1877100001
50,708.0,4.5521323230353365,144489841.71841997,16572122.784000002,2556360.1653000005,514497.1823,65190.71327
51,711.0,4.501814915026364,182876686.71229,32961301.83614,2843695.47352,603524.2642999999,0.0
52,712.0,4.48942163564651,184615229.92634,38464068.93678,2456165.0405,881671.3256,5182.3745
53,714.0,4.451988877090199,212989558.01391003,44796612.54951,1605506.1523,927523.3253,625230.399
54,716.0,4.425636673797183,256635858.52672,35184042.0449,592806.5627,140497.817,17688.07
55,718.0,4.384017668022734,239291323.82597,19758043.3422,4493256.5325,319918.0407,16028.5879
56,720.0,4.356077168016793,144135167.50068998,8839718.61344,3357585.4364,241692.90020000003,7124.1204
57,722.0,4.328017673411098,114380767.52505,4023016.18854,915584.342,616439.045,314956.73799999995
58,724.0,4.282832647088027,101136260.86562,7593027.6661,3776657.776000001,351536.0215,0.0
59,726.0,4.251573740401522,73652853.32169,9479444.27418,2589880.2479,117688.58419999998,0.0
60,728.0,4.218546832503941,73151989.55940999,12665774.64916,1829013.6034,70467.469,147041.3953
61,731.0,4.1837560100917885,97318556.05208,9024137.86882,806157.5673999999,156282.53554,594396.70148
62,732.0,4.166252624258076,123418342.7637,9734804.9623,277337.71573,233609.5778,693685.9392
63,734.0,4.129379642199092,173178908.04095,7560056.602600001,1436511.5296299998,1009229.255044,258207.78909
