snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
616.0,6.067346,4.5,91080.0,67921.01,604912.44,57000.55,93304.59,61955.69,32234.314
616.0,6.067346,5.5,117350.0,18211.836,1001521.7,22786.678,168846.47,82058.0,40759.23
616.0,6.067346,6.5,120435.0,66723.15,1018102.4,90156.44,39354.258,1871.3229,18197.855
616.0,6.067346,7.5,121196.0,76208.31,869414.75,106626.78,25587.979,69115.19,87135.04
616.0,6.067346,8.5,126728.0,103351.45,728868.44,186721.89,82231.66,71761.06,76008.414
616.0,6.067346,9.5,120287.0,114303.88,595865.5,128286.48,36609.996,83421.36,113010.65
616.0,6.067346,10.5,119055.0,138979.12,363894.06,428653.53,129755.695,211255.5,175990.98
616.0,6.067346,11.5,110514.0,68794.414,654589.5,429584.12,45317.43,235477.16,86464.26
616.0,6.067346,12.5,98642.0,38824.688,557225.9,485055.66,74012.56,113824.234,88478.25
616.0,6.067346,13.5,88962.0,32875.0,482906.44,613541.75,120669.91,59743.484,85071.56
616.0,6.067346,14.5,75918.0,38785.66,600190.9,411555.1,111696.27,54594.8,123265.82
616.0,6.067346,15.5,64486.0,34956.215,587655.3,146604.98,174351.58,152431.12,38255.973
616.0,6.067346,16.5,53204.0,9105.405,599920.5,100775.69,100233.16,199596.73,130604.0
616.0,6.067346,17.5,37455.0,1774.272,485912.9,60241.32,95109.555,109556.9,133919.17
616.0,6.067346,18.5,27773.0,76736.914,397991.0,103459.74,75468.12,101211.69,90921.72
616.0,6.067346,19.5,19034.0,116699.734,375275.16,204540.47,186172.8,102643.445,47302.395
616.0,6.067346,20.5,12928.0,110559.3,284096.16,179316.64,142782.33,69176.77,17675.047
616.0,6.067346,21.5,7896.0,88849.61,183302.14,105246.375,62830.754,76604.91,56990.18
618.0,6.032073,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618.0,6.032073,1.5,70621.0,176836.98,775180.3,233511.3,190460.08,73493.62,78750.445
618.0,6.032073,2.5,70675.0,65744.76,322825.28,7198.772,105758.43,48850.06,19988.488
618.0,6.032073,3.5,77822.0,17307.387,285692.66,20660.725,45747.05,24032.547,27631.092
618.0,6.032073,4.5,90851.0,17415.117,574765.94,142304.05,51639.395,13308.585,26988.07
618.0,6.032073,5.5,118188.0,12479.175,995176.75,134239.81,68643.63,8776.956,8642.299
618.0,6.032073,6.5,123388.0,45530.76,1017997.4,99497.14,118507.5,78934.7,47136.094
618.0,6.032073,7.5,120960.0,37582.06,939097.1,25531.844,110141.8,87259.24,19379.383
618.0,6.032073,8.5,125807.0,70068.12,825517.3,208590.11,218319.88,175962.14,46758.598
618.0,6.032073,9.5,121752.0,92530.36,690377.0,216668.34,50425.676,61822.7,140419.98
618.0,6.032073,10.5,117060.0,65228.055,166100.86,329969.34,179304.89,204405.62,124260.96
618.0,6.032073,11.5,115860.0,23800.746,228042.94,334850.16,168848.27,176746.19,265088.56
618.0,6.032073,12.5,107819.0,8074.105,749072.5,408632.47,147093.97,130223.94,82819.21
618.0,6.032073,13.5,90173.0,20219.324,599477.1,530855.0,280644.28,246909.2,124173.29
618.0,6.032073,14.5,77228.0,20900.043,555794.94,421088.53,282170.2,82907.82,29709.09
618.0,6.032073,15.5,63573.0,29555.408,645347.44,295452.3,287313.97,56701.426,145916.94
618.0,6.032073,16.5,51823.0,71412.07,558432.4,236794.62,183990.33,166780.88,120079.48
618.0,6.032073,17.5,37313.0,4903.2812,438715.06,135360.94,37336.637,108822.234,80871.18
618.0,6.032073,18.5,26791.0,21258.867,404867.84,111173.914,81414.555,187083.48,130886.22
618.0,6.032073,19.5,20611.0,103598.984,393019.44,135274.86,134977.25,133687.69,83670.86
618.0,6.032073,20.5,13173.0,108563.41,292075.03,151180.75,104511.914,75110.945,34986.47
618.0,6.032073,21.5,6931.0,80031.266,178074.2,106980.47,72605.58,84616.29,61037.168
620.0,5.994832,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620.0,5.994832,1.5,71035.0,172539.92,770858.5,195895.06,125643.19,64115.742,31112.469
620.0,5.994832,2.5,72014.0,92254.8,285051.94,71851.6,96906.516,37701.03,24080.139
620.0,5.994832,3.5,74612.0,75930.11,220958.78,31306.967,39647.613,37175.95,72230.734
620.0,5.994832,4.5,92020.0,60220.742,650089.44,81402.83,71658.945,34384.812,51177.613
620.0,5.994832,5.5,117514.0,29177.012,876470.9,71555.73,98592.86,11763.932,29031.28
620.0,5.994832,6.5,123998.0,80398.31,943176.56,113971.97,112726.07,106044.65,28624.12
620.0,5.994832,7.5,121439.0,130818.945,919116.06,126677.83,107903.63,170677.53,95522.555
620.0,5.994832,8.5,122588.0,101244.164,981037.75,161757.16,70805.49,90421.26,20409.697
620.0,5.994832,9.5,124011.0,30895.832,773172.44,201166.86,140203.64,31571.15,43307.465
620.0,5.994832,10.5,117414.0,68511.0,398372.53,165818.6,197796.7,119605.28,199380.02
620.0,5.994832,11.5,111329.0,61922.51,339231.6,46977.938,99745.22,99816.88,243013.05
620.0,5.994832,12.5,110278.0,93224.086,641297.56,211731.23,65077.816,227551.11,54991.88
620.0,5.994832,13.5,101499.0,60931.77,745838.06,408975.03,309451.84,278355.97,215100.86
620.0,5.994832,14.5,78001.0,25874.598,650540.75,369196.78,293478.34,226654.31,156580.1
620.0,5.994832,15.5,64916.0,107174.21,586244.0,319850.28,269688.84,87737.414,238088.08
620.0,5.994832,16.5,53114.0,113148.92,585203.3,341917.5,225167.97,152604.81,148867.38
620.0,5.994832,17.5,38711.0,97406.33,602335.4,283169.88,107471.29,199564.17,68444.05
620.0,5.994832,18.5,28461.0,67499.16,502174.75,73906.055,23757.193,195303.02,80099.15
620.0,5.994832,19.5,18976.0,113331.84,390448.12,95056.984,63242.633,168748.0,124943.05
620.0,5.994832,20.5,12281.0,103362.19,259459.31,76695.34,34498.246,110294.95,97946.76
620.0,5.994832,21.5,7006.0,83010.164,169757.2,82013.37,74179.76,96576.14,68705.22
622.0,5.957324,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622.0,5.957324,1.5,70262.0,125638.35,653040.8,174823.69,145388.64,67353.1,49211.645
622.0,5.957324,2.5,73443.0,120103.69,176687.86,75050.66,32903.785,81754.945,54652.695
622.0,5.957324,3.5,75303.0,79309.33,199521.08,83123.86,77311.984,9124.14,30754.803
622.0,5.957324,4.5,94640.0,113840.09,465368.78,47253.938,30112.055,42339.72,26046.025
622.0,5.957324,5.5,118595.0,98345.71,827416.3,27948.516,90246.19,20449.006,34381.797
622.0,5.957324,6.5,120710.0,32605.42,836323.6,50828.695,127765.945,36001.402,27267.951
