snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
614.0,6.1007195,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614.0,6.1007195,1.5,69415.0,2606.2078,233.68866,1339.3616,280.9704,728.2253,472.5509
614.0,6.1007195,2.5,72329.0,1855.5812,4410.3086,693.5223,263.93088,413.52026,1021.35834
614.0,6.1007195,3.5,75631.0,2330.243,10337.853,1045.6388,192.41605,814.33405,406.905
614.0,6.1007195,4.5,89401.0,2013.7954,15436.794,1105.6494,2108.3582,815.4005,550.8694
614.0,6.1007195,5.5,116263.0,1347.1854,24984.74,1277.6592,4137.8833,848.1082,682.3617
614.0,6.1007195,6.5,121980.0,1219.6447,25812.871,973.05383,531.9776,1859.9307,541.6639
614.0,6.1007195,7.5,119935.0,1707.2877,26872.531,4064.4058,2896.1646,814.4808,1328.9574
614.0,6.1007195,8.5,125979.0,62.571033,28157.137,8797.968,767.6554,4054.5457,1082.8446
614.0,6.1007195,9.5,115818.0,4409.839,14301.597,6927.7085,4326.9316,4667.8384,4635.258
614.0,6.1007195,10.5,112847.0,3039.5276,9059.569,15188.684,7301.329,5101.1714,7354.939
614.0,6.1007195,11.5,110149.0,2764.5317,20459.928,27680.227,5855.3735,1731.1971,505.53143
614.0,6.1007195,12.5,99131.0,8604.08,25460.71,24471.143,9647.855,3952.5327,4411.163
614.0,6.1007195,13.5,86532.0,8869.246,35478.81,23466.086,5840.671,4535.9214,2158.6929
614.0,6.1007195,14.5,76501.0,445.94925,36165.824,17338.994,6866.381,4175.742,5826.6216
614.0,6.1007195,15.5,64404.0,613.886,36292.246,9560.762,9887.651,10548.371,266.99774
614.0,6.1007195,16.5,52043.0,2597.5173,37758.863,7579.599,7950.8823,8361.838,4253.8657
614.0,6.1007195,17.5,39910.0,6121.3774,35983.684,12932.323,7416.419,7159.912,5970.9673
614.0,6.1007195,18.5,28720.0,5759.884,27351.709,4957.2515,12726.376,5787.897,7592.0767
614.0,6.1007195,19.5,18676.0,426.52267,24088.994,4676.726,10509.798,4370.7017,5901.3438
614.0,6.1007195,20.5,13357.0,481.52432,22930.19,5018.139,7745.5034,2340.6694,2981.71
614.0,6.1007195,21.5,7703.0,540.1777,15961.955,8734.43,2512.99,3395.032,2015.5773
616.0,6.067346,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616.0,6.067346,1.5,70853.0,1990.7554,1191.0449,1058.2767,309.3842,1101.292,323.77588
616.0,6.067346,2.5,72314.0,2446.7502,3528.4563,286.69183,269.72678,1105.4938,164.80661
616.0,6.067346,3.5,75102.0,1447.2242,8508.44,752.6921,433.12222,165.27966,172.30797
616.0,6.067346,4.5,91080.0,1625.013,16927.21,780.165,582.4075,622.5874,561.6346
616.0,6.067346,5.5,117350.0,2549.2788,24326.447,459.1423,3758.3594,2053.001,1225.1089
616.0,6.067346,6.5,120435.0,323.10236,25108.56,2506.0537,2404.1926,1584.4292,705.49176
616.0,6.067346,7.5,121196.0,1846.5579,30959.05,2595.0085,4309.4614,1423.1072,2335.9624
616.0,6.067346,8.5,126728.0,4478.796,31954.916,3303.9316,4194.941,1704.1371,4190.1274
616.0,6.067346,9.5,120287.0,6360.789,18749.637,10477.185,7414.351,5858.119,4847.426
616.0,6.067346,10.5,119055.0,6344.8403,3568.0654,15514.014,1892.5835,6612.609,2240.2983
616.0,6.067346,11.5,110514.0,4301.149,15548.013,16385.307,7004.2686,7925.9873,1499.8818
616.0,6.067346,12.5,98642.0,3397.4438,16066.29,21579.074,7572.976,6673.345,1558.9641
616.0,6.067346,13.5,88962.0,761.6775,30465.209,20353.361,13191.319,10852.296,1327.3086
616.0,6.067346,14.5,75918.0,278.7331,36495.62,12667.554,16756.328,3545.6619,309.09247
616.0,6.067346,15.5,64486.0,3188.5676,43085.465,8223.701,11037.519,7191.1055,5879.1616
616.0,6.067346,16.5,53204.0,2892.9473,42680.88,17132.781,9182.295,4226.492,6392.537
616.0,6.067346,17.5,37455.0,943.81946,36050.41,13615.619,3874.778,8140.3667,10026.213
616.0,6.067346,18.5,27773.0,891.2647,31025.914,9548.191,7193.5347,10185.638,8867.523
616.0,6.067346,19.5,19034.0,1522.0945,31027.482,719.9739,12981.266,11684.8955,5961.751
616.0,6.067346,20.5,12928.0,604.45886,21190.006,3017.9443,8717.53,6579.4316,515.33826
616.0,6.067346,21.5,7896.0,112.03721,11639.992,4195.2266,1618.04,4478.6733,4448.458
618.0,6.032073,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618.0,6.032073,1.5,70621.0,775.32806,1292.8796,832.7074,278.54105,1339.22,126.16153
618.0,6.032073,2.5,70675.0,956.62964,2429.5632,1241.5392,484.14597,826.3875,149.77762
618.0,6.032073,3.5,77822.0,485.7528,8221.097,743.5949,366.26642,945.046,625.013
618.0,6.032073,4.5,90851.0,1143.0677,15436.202,902.8824,934.74176,1642.4786,1038.6685
618.0,6.032073,5.5,118188.0,416.73923,23127.367,35.271286,3491.354,757.93536,2020.3347
618.0,6.032073,6.5,123388.0,860.0966,26632.361,1814.8599,1323.935,498.2956,2362.53
618.0,6.032073,7.5,120960.0,3420.3794,29965.398,1587.6414,1136.0903,2692.019,2639.5232
618.0,6.032073,8.5,125807.0,1145.9161,35570.715,6531.8223,4427.6826,3004.824,1619.5472
618.0,6.032073,9.5,121752.0,3048.3323,28294.906,6090.9404,2331.7485,1842.8932,4925.038
618.0,6.032073,10.5,117060.0,6279.8833,9757.778,15262.521,2653.1045,11231.101,5953.435
618.0,6.032073,11.5,115860.0,6147.723,30150.012,18720.719,8425.9,10494.45,9757.59
618.0,6.032073,12.5,107819.0,1587.9905,35603.766,24898.432,6528.107,18203.855,4888.7354
618.0,6.032073,13.5,90173.0,3070.3218,32288.336,23049.977,14536.864,7031.4644,3776.5566
618.0,6.032073,14.5,77228.0,5897.6934,29002.076,21226.033,15661.393,7916.833,4701.9355
618.0,6.032073,15.5,63573.0,6586.6675,36958.242,13149.454,16797.19,9380.738,4736.291
618.0,6.032073,16.5,51823.0,7585.669,46535.957,12342.477,6143.866,5753.008,8763.055
618.0,6.032073,17.5,37313.0,4.2757335,38646.29,17135.76,2769.127,8297.704,5999.9023
618.0,6.032073,18.5,26791.0,1112.4586,33644.227,12753.965,6737.889,13302.986,4827.6494
618.0,6.032073,19.5,20611.0,40.365067,33818.984,6977.4556,10472.056,17882.541,7197.8994
618.0,6.032073,20.5,13173.0,1042.8059,23392.914,3244.8518,8067.54,11583.147,7873.5684
618.0,6.032073,21.5,6931.0,141.31288,8391.191,1611.6395,2796.2664,4237.03,4561.4146
620.0,5.994832,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620.0,5.994832,1.5,71035.0,94.99427,2183.446,1851.845,697.34863,688.4796,339.30484
620.0,5.994832,2.5,72014.0,1067.6893,2203.2273,1905.3054,116.6392,595.48175,351.06357
620.0,5.994832,3.5,74612.0,236.84302,5916.6646,266.21606,955.0902,375.79868,768.2016
620.0,5.994832,4.5,92020.0,723.0666,14968.827,710.8068,1051.8226,293.16608,479.06424
620.0,5.994832,5.5,117514.0,1536.5664,25755.352,1252.4479,2983.9578,1015.64417,240.9405
620.0,5.994832,6.5,123998.0,2209.676,27299.367,3042.6743,4184.578,926.4121,1326.403
620.0,5.994832,7.5,121439.0,2391.4062,30083.447,2712.6208,522.9666,2662.9668,1573.3075
620.0,5.994832,8.5,122588.0,387.72815,30281.738,3622.5518,182.73506,1854.6177,1142.4327
620.0,5.994832,9.5,124011.0,1284.8916,24586.273,11281.134,5181.525,3457.4863,3163.9844
620.0,5.994832,10.5,117414.0,707.5941,13647.08,15507.724,5479.865,5522.396,10043.759
620.0,5.994832,11.5,111329.0,4498.887,8988.108,13878.031,4763.6187,6608.4043,5266.368
620.0,5.994832,12.5,110278.0,3557.1316,47688.957,31928.543,5518.5,2842.3477,10693.707
620.0,5.994832,13.5,101499.0,6562.1216,50652.84,30910.582,18155.28,12104.083,10722.375
620.0,5.994832,14.5,78001.0,1573.119,33393.88,26677.219,25231.732,9412.435,11231.914
620.0,5.994832,15.5,64916.0,241.52611,39139.043,28994.127,25811.205,3285.7998,2605.69
620.0,5.994832,16.5,53114.0,528.5919,43124.816,19736.787,24847.457,1546.3881,9822.694
620.0,5.994832,17.5,38711.0,3285.074,37392.09,22264.533,10605.211,7995.881,3625.3308
620.0,5.994832,18.5,28461.0,3291.1309,38381.402,20779.18,2688.5518,14481.636,1189.6373
620.0,5.994832,19.5,18976.0,1811.11,28127.758,12157.708,8309.133,12981.947,8524.944
620.0,5.994832,20.5,12281.0,2915.8647,23784.844,11990.051,9033.72,12004.971,11405.985
620.0,5.994832,21.5,7006.0,65.89804,9096.294,8510.473,5749.5234,3600.4993,4569.174
622.0,5.957324,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622.0,5.957324,1.5,70262.0,973.32227,1828.7725,1514.8191,484.3172,875.7657,235.95131
622.0,5.957324,2.5,73443.0,1334.1418,2416.4006,1525.4355,444.91473,702.3132,613.4238
622.0,5.957324,3.5,75303.0,1428.92,4971.9717,646.3764,553.2878,447.16434,368.8391
622.0,5.957324,4.5,94640.0,639.3024,14024.116,108.799065,1058.8184,856.79767,625.4273
622.0,5.957324,5.5,118595.0,807.8514,23575.033,944.3478,2825.329,238.62405,161.51437
622.0,5.957324,6.5,120710.0,1838.3346,25632.436,1879.1466,2490.4731,473.65344,535.1951
622.0,5.957324,7.5,118630.0,1984.6993,29706.576,3419.7131,1434.4645,3370.8499,2408.8843
622.0,5.957324,8.5,121178.0,752.07074,26710.451,5807.584,8074.9937,2055.1348,1459.2855
622.0,5.957324,9.5,123189.0,3525.63,22790.76,7360.224,5687.4194,5048.769,4424.8296
622.0,5.957324,10.5,119433.0,413.69873,12048.343,16143.973,3241.473,4187.0903,6623.72
622.0,5.957324,11.5,112568.0,2625.0945,1594.4856,13045.568,5362.846,3958.2566,8845.572
622.0,5.957324,12.5,102124.0,1541.6305,18750.52,9046.815,10769.783,2385.5872,5239.1094
622.0,5.957324,13.5,97093.0,2309.9172,29356.186,22132.375,9016.976,4244.9644,7764.808
622.0,5.957324,14.5,84006.0,3283.4075,43893.645,28351.676,20025.986,7851.098,11206.366
622.0,5.957324,15.5,68607.0,959.0769,47446.074,31740.582,21221.693,8143.476,11456.947
622.0,5.957324,16.5,56339.0,2407.3135,51399.637,36947.242,31027.984,5426.831,3013.4705
622.0,5.957324,17.5,41598.0,2903.2627,35753.04,27136.77,18917.191,10664.215,6178.0225
622.0,5.957324,18.5,28364.0,225.77373,30674.723,20547.238,9237.179,14216.737,2909.972
622.0,5.957324,19.5,19001.0,4167.184,29126.611,19317.934,7375.5337,9156.631,3443.0002
622.0,5.957324,20.5,12378.0,3698.6653,23103.602,18766.06,8026.0923,8303.529,8205.039
622.0,5.957324,21.5,7231.0,2050.7078,11660.756,9775.928,5897.972,4820.602,7091.3213
624.0,5.936564,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624.0,5.936564,1.5,70277.0,977.4582,1241.4208,1178.2338,149.32838,347.89838,319.7684
624.0,5.936564,2.5,73282.0,1157.1129,3122.09,833.2472,142.77638,810.73364,743.49713
624.0,5.936564,3.5,74717.0,563.6875,5907.8794,801.4423,1306.688,349.69562,376.92938
624.0,5.936564,4.5,95540.0,1431.5681,11750.734,1222.4335,957.95593,944.7796,368.7703
624.0,5.936564,5.5,120373.0,1109.0975,21604.836,1299.4331,1521.816,749.6923,1288.0131
624.0,5.936564,6.5,122171.0,818.42896,25281.852,2763.5266,994.27826,1294.7782,1145.7336
624.0,5.936564,7.5,116608.0,2613.2734,28576.725,3382.1702,4486.4946,2016.0323,2791.025
624.0,5.936564,8.5,120648.0,969.07416,27192.07,6923.1753,5634.7764,1766.997,1468.9808
624.0,5.936564,9.5,121601.0,2424.7686,26308.654,5854.185,4953.0835,3640.0823,7617.1006
624.0,5.936564,10.5,119779.0,2444.158,17029.408,9559.214,3978.1292,3762.2705,3299.983
624.0,5.936564,11.5,112216.0,1325.5723,5832.252,10484.058,7754.6016,4839.8965,7184.2666
624.0,5.936564,12.5,102302.0,2432.351,20677.26,3084.885,11745.133,6140.4204,9752.112
624.0,5.936564,13.5,93191.0,3957.869,27305.465,8431.445,10034.826,928.4445,7860.1567
624.0,5.936564,14.5,86135.0,396.34442,41761.355,23328.121,10213.794,4349.4746,11648.887
624.0,5.936564,15.5,71075.0,1541.7083,48942.785,26617.932,10393.246,5724.61,8546.478
624.0,5.936564,16.5,56629.0,680.9174,50845.08,33076.766,25135.457,6028.0454,3595.992
624.0,5.936564,17.5,43734.0,1920.7699,46022.61,32859.266,17600.201,6333.4316,575.724
624.0,5.936564,18.5,29243.0,417.2374,38133.85,27638.17,11860.033,12332.388,2862.746
624.0,5.936564,19.5,18818.0,2286.0994,26521.658,17179.162,3714.5266,11212.922,3912.037
624.0,5.936564,20.5,12404.0,1586.5023,19042.73,16545.025,8929.712,11430.664,8034.2446
624.0,5.936564,21.5,7756.0,3591.8608,14705.322,11695.528,7885.918,6620.32,8063.339
626.0,5.8948116,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626.0,5.8948116,1.5,70551.0,1319.036,758.043,1506.2483,454.84567,237.21408,232.59447
626.0,5.8948116,2.5,72938.0,1636.293,2785.359,98.3794,647.49316,741.12494,520.74243
626.0,5.8948116,3.5,73906.0,1486.6019,5243.607,769.22186,716.7083,237.51633,489.56543
626.0,5.8948116,4.5,92350.0,1379.7784,9395.147,401.95206,1665.6656,1277.5917,194.21869
626.0,5.8948116,5.5,120282.0,907.8485,17509.504,1890.4594,1226.6388,1542.817,932.4612
626.0,5.8948116,6.5,127386.0,1584.0353,22996.115,1982.3746,1264.4082,1971.2915,1222.3868
626.0,5.8948116,7.5,121106.0,3726.695,26566.9,3925.1482,2877.569,692.6365,358.031
626.0,5.8948116,8.5,122833.0,2539.3733,29039.938,3510.2031,5480.425,3995.3135,2996.8682
626.0,5.8948116,9.5,117239.0,2067.0159,24126.209,2599.3398,8449.698,1657.5253,881.2231
626.0,5.8948116,10.5,113871.0,2388.8604,22803.99,6666.6333,7481.489,2830.4485,3467.2798
