snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
919.2415891847844,919.2415891847844,919.2415891847844,919.2415891847844,919.2415891847844,919.2415891847844,919.2415891847844,919.2415891847844
945.7190921096641,945.7190921096641,945.7190921096641,945.7190921096641,945.7190921096641,945.7190921096641,945.7190921096641,945.7190921096641
940.6711807767454,940.6711807767454,940.6711807767454,940.6711807767454,940.6711807767454,940.6711807767454,940.6711807767454,940.6711807767454
915.6895557451056,915.6895557451056,915.6895557451056,915.6895557451056,915.6895557451056,915.6895557451056,915.6895557451056,915.6895557451056
538.165255311824,538.165255311824,538.165255311824,538.165255311824,538.165255311824,538.165255311824,538.165255311824,538.165255311824
543.9966852915697,543.9966852915697,543.9966852915697,543.9966852915697,543.9966852915697,543.9966852915697,543.9966852915697,543.9966852915697
564.8031920038053,564.8031920038053,564.8031920038053,564.8031920038053,564.8031920038053,564.8031920038053,564.8031920038053,564.8031920038053
575.4013815272681,575.4013815272681,575.4013815272681,575.4013815272681,575.4013815272681,575.4013815272681,575.4013815272681,575.4013815272681
575.8400631706861,575.8400631706861,575.8400631706861,575.8400631706861,575.8400631706861,575.8400631706861,575.8400631706861,575.8400631706861
594.5101439927811,594.5101439927811,594.5101439927811,594.5101439927811,594.5101439927811,594.5101439927811,594.5101439927811,594.5101439927811
612.5073411783682,612.5073411783682,612.5073411783682,612.5073411783682,612.5073411783682,612.5073411783682,612.5073411783682,612.5073411783682
613.0943618407322,613.0943618407322,613.0943618407322,613.0943618407322,613.0943618407322,613.0943618407322,613.0943618407322,613.0943618407322
629.9934781271148,629.9934781271148,629.9934781271148,629.9934781271148,629.9934781271148,629.9934781271148,629.9934781271148,629.9934781271148
638.7262820960603,638.7262820960603,638.7262820960603,638.7262820960603,638.7262820960603,638.7262820960603,638.7262820960603,638.7262820960603
642.624762656429,642.624762656429,642.624762656429,642.624762656429,642.624762656429,642.624762656429,642.624762656429,642.624762656429
656.1128939897582,656.1128939897582,656.1128939897582,656.1128939897582,656.1128939897582,656.1128939897582,656.1128939897582,656.1128939897582
666.3301630794703,666.3301630794703,666.3301630794703,666.3301630794703,666.3301630794703,666.3301630794703,666.3301630794703,666.3301630794703
674.3884118720208,674.3884118720208,674.3884118720208,674.3884118720208,674.3884118720208,674.3884118720208,674.3884118720208,674.3884118720208
